Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Chad,1995,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1566.509
Chad,2017,...,...,Development,Trade Balance (current US$ Mil),-581.49139332335
Chad,2017,...,...,Development,GDP (current US$ Mil),9871.24773189787
Chad,1995,...,...,Tariff,No. Of Tariff Agreement,7
Chad,2016,...,...,Others,Population,14452543
Chad,2018,...,...,Others,Ease of Doing Business Rank,180
Chad,2018,...,...,Others,Trading Across Borders Rank,172
Chad,2017,...,...,Others,CPIA Trade Ratings,3
Chad,2016,...,...,Others,LPI Rank,145
Chad,2016,...,...,Others,LPI Score,2.164453
Chad,1995,World,Raw materials,Tariff,Weighted Average (%),19.0153256676885
Chad,1995,World,Intermediate goods,Tariff,Weighted Average (%),14.2739364667875
Chad,1995,World,Consumer goods,Tariff,Weighted Average (%),15.0383400173582
Chad,1995,World,Capital goods,Tariff,Weighted Average (%),13.5658043196189
Chad,1995,World,All Products,Tariff,Simple Average (%),17.0800973009138
Chad,1995,World,All Products,Tariff,Weighted Average (%),14.5800678988311
Chad,1995,World,All Products,Tariff,Maximum Rate (%),30
Chad,1995,World,All Products,Tariff,Duty Free Tariff Lines Share (%),0.535659626568717
Chad,2017,...,...,Development,Trade Balance (% of GDP),-5.8907587887226
Chad,2017,...,...,Development,Trade (% of GDP),74.3534806822137
Chad,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",640
